tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres
tt12498602	tvMiniSeries	Dokter Corrie: Eerste Keren	Dokter Corrie: Eerste Keren	0	2016	2016	\N	Family
tt16429174	tvSeries	Urban - Cherie Laurent	Urban - Cherie Laurent	0	2020	2020	\N	Talk-Show
tt6967916	tvMiniSeries	Manon, 20 Years	Manon 20 ans	0	2017	2017	\N	Drama
tt21975438	tvSeries	Ments Inquietes	Ments Inquietes	0	2022	2022	\N	Documentary
tt5085224	tvSeries	Das Lied meines Lebens	Das Lied meines Lebens	0	1956	1957	105	Music
tt7529292	tvMiniSeries	Five Nights a Roblox Master Film	Five Nights a Roblox Master Film	0	2015	2017	\N	Comedy,Horror
tt0254897	tvSeries	Hands of Mystery	Hands of Murder	0	1949	1952	30	Drama,Musical,Mystery
tt10430976	tvSeries	Stolte som få	Stolte som få	0	2019	2019	55	Comedy
tt12730950	tvMiniSeries	NJPW G1 Climax 2011 ~ the Invincible Fighter	NJPW G1 Climax 2011 ~ the Invincible Fighter	0	2011	2011	\N	Action,Drama,Sport
tt10230090	tvSeries	Villa To Village	Villa To Village	0	2018	2018	\N	Reality-TV
tt28542830	tvSeries	Eksir	Eksir	0	2019	2019	\N	\N
tt0373613	tvSeries	Si yo fuera presidente	Si yo fuera presidente	0	1983	1985	60	Talk-Show
tt0061286	tvSeries	Our Place	Our Place	0	1967	1967	60	Comedy,Family,Music
tt0324872	tvSeries	Life Begins at Eighty	Life Begins at Eighty	0	1950	1956	30	\N
tt0476104	tvSeries	New York, New York	New York, New York	0	1967	1985	45	\N
tt15574312	tvMiniSeries	The Patient	The Patient	0	2022	2022	300	Drama,Mystery,Thriller
tt2396950	tvSeries	The Block	The Block	0	2005	2006	5	Comedy,Short
tt2391684	tvSeries	Experimental Detective Totori	Jikken Keiji Totori	0	2012	2013	\N	Mystery
tt0115349	tvSeries	Second Noah	Second Noah	0	1996	1998	60	Drama,Family
tt1308907	tvSeries	The Roof	The Roof	0	2003	2004	\N	Comedy,Music,Reality-TV
tt26930840	tvSeries	Return of the Wild: The Bearman of Buncrana	Return of the Wild: The Bearman of Buncrana	0	2020	2020	25	Documentary
tt22074776	tvSeries	Perpsectives Part I	Perpsectives Part I	0	2022	2022	12	Drama
tt0490547	tvSeries	Solitary	Solitary	0	2006	2010	\N	Game-Show,Reality-TV
tt1447723	tvSeries	The Fresh Beat Band	The Fresh Beat Band	0	2009	2013	30	Family,Musical
tt0102109	tvMiniSeries	In a Child's Name	In a Child's Name	0	1991	1991	192	Biography,Drama,Thriller
tt16342098	tvSeries	Paidiko theatro	Paidiko theatro	0	1998	1999	\N	Family
tt4172594	tvSeries	Spy TV UK	Spy TV UK	0	1999	2000	\N	Reality-TV
tt10569776	tvSeries	The Gun Loaded	Tofang-e Sarpor	0	2002	2003	\N	Drama,History,War
tt21188914	tvMiniSeries	Being Jan Ullrich	Being Jan Ullrich	0	2022	2022	\N	Documentary
tt19139424	tvSeries	Dance Ghamasan	Dance Ghamasan	0	2018	2018	60	Reality-TV
tt23060500	tvSeries	Scott the woz (G4)	Scott the woz (G4)	0	2021	2022	60	Comedy
tt4516518	tvSeries	Fixing Breaking Bad	Fixing Breaking Bad	0	2013	2013	\N	Comedy
tt8007244	tvMiniSeries	Wayne Gretzky: 99 Stories of the Game	Wayne Gretzky: 99 Stories of the Game	0	2017	2017	\N	Biography,Sport
tt23762464	tvMiniSeries	Be Eternal: Champions of America	Sean eternos: Campeones de América	0	2022	2022	42	Documentary,Sport
tt17505924	tvSeries	11M: El Principio del Fin	11M: El Principio del Fin	0	2022	2022	513	Documentary
tt0435585	tvSeries	ToddWorld	ToddWorld	0	2004	2008	22	Animation,Family
tt19178430	tvSeries	Will & Amala LIVE	Will & Amala LIVE	0	2021	2022	\N	News,Talk-Show
tt28772256	tvSeries	Director's Series	Director's Series	0	1981	1994	\N	Talk-Show
tt15657130	tvSeries	FE souen no kiseki o jikkyou purei suruzo!	FE souen no kiseki o jikkyou purei suruzo!	0	2009	2010	\N	\N
tt21105256	tvSeries	Punching Below the Bible Belt	Punching Below the Bible Belt	0	2020	2021	\N	Comedy
tt11882694	tvMiniSeries	Slödder	Slödder	0	1980	1981	20	Comedy,Drama
tt13958586	tvMiniSeries	Álbum	Álbum	0	2021	2021	18	Drama
tt27811526	tvSeries	Bamha-ye Meh Gerefte	Bamha-ye Meh Gerefte	0	2006	2006	\N	Drama
tt7526806	tvMiniSeries	The Educatoror	The Educatoror	0	2017	2017	\N	Comedy
tt11286302	tvSeries	Kore wa Keihi de Ochimasen	Kore wa Keihi de Ochimasen	0	2019	2019	\N	Drama
tt16493772	tvSeries	Short End of the Stick	Short End of the Stick	0	2016	2016	45	Drama
tt0383819	tvSeries	Reklamer til tiden	Reklamer til tiden	0	2003	2003	32	Documentary,History
tt9163448	tvSeries	Straight Forward with Roger Ailes	Straight Forward with Roger Ailes	0	1994	1995	\N	Talk-Show
tt12610542	tvSeries	Three to Get Ready	Three to Get Ready	0	1950	1952	90	Music
tt21212076	tvMiniSeries	Leonora - Einmal IS-Terror und zurück	Leonora - Einmal IS-Terror und zurück	0	2022	2022	32	Documentary
tt28103736	tvMiniSeries	My Story	My Story	0	2023	2023	\N	\N
